id	isv	addition	partOfSpeech
2590	hoditi		v.intr. ipf.
7782	hodnik		m.
25984	hodulja		f.
7780	hođeńje		n.sg.
5802	hokej na ledu		m.sg.
5801	hokej		m.sg.
35740	Holandija		f.sg.
35741	holandsky		adj.
35099	holera		f.
37276	holeričny		adj.
37275	holerik		m.anim.
17462	holesterol		m.sg.
37717	holivudsky		adj.
544	hȯlm		m.
37718	holografičny		adj.
37448	hologram		m.
37719	hominid		m.anim.
20384	homjak		m.anim.
23412	homogenizovati		v.tr. ipf.
19717	homogennosť		f.
19718	homogenny		adj.
17463	homonim		m.
35566	homoseksualist		m.anim.
37444	homoseksuaľnosť		f.
1511	homoseksuaľny		adj.
2582	homųt		m.
22386	Honduras		m.sg.
22387	hondurassky		adj.
37720	hongkongsky		adj.
23449	hor		m.
37449	horeograf		m.anim.
32504	horeografija		f.
19719	horizont		m.
19720	horizontaľny		adj.
37496	horor		m.
37498	horor-film		m.
23011	horoskop		m.
38084	horovy		adj.
706	horųgva		f.
37061	Horynj		f.sg.
25997	hoť by		adv.
2581	hoť, hoti		conj.
35268	hotel		m.
37721	hotelovy		adj.
2971	hotěti	(hoće)	v.aux. ipf.
1828	hovati	(hovaje)	v.tr. ipf.
25999	hråbrėc		m.anim.
4611	hråbrosť		f.
2607	hråbry		adj.
4890	hram		m.
26006	hrånitelj		m.anim.
36791	hråniti sę		v.refl. ipf.
19721	hråniti		v.tr. ipf.
17464	hrånjenėc		m.anim.
17466	hrapati		v.intr. ipf.
1639	hråpavy		adj.
17467	hrapnųti		v.intr. pf.
26013	hrčati		v.intr. ipf.
20385	hrčėk		m.anim.
841	hrėbėt		m.
1928	hrėbėt		m.
67	hrėbėtny mozȯk		m.
26012	hrėbėtny		adj.
3114	hrěn		m.
26015	hrěnovy		adj.
35996	hrěnviršla		f.
35826	hrestomatija		f.
26010	hręšč		m.
35456	hriply		adj.
302	hristijan, hristijanin		m.anim.
17468	hristijanizacija		f.
17470	hristijanka		f.
2606	hristijańsky		adj.
1640	hristijaństvo		n.sg.
17471	Hristos		m.anim.
22620	hrom		m.sg.
26018	hromati		v.intr. ipf.
36830	hromatičny		adj.
37722	hromatin		m.
34408	hroměti		v.intr. ipf.
26019	hromosť		f.
26021	hromy		adj.
37062	Hron		m.sg.
35718	hronika		f.
35774	hronikaŕ		m.anim.
35398	hronologičny		adj.
35397	hronologija		f.
2577	hrt		m.anim.
26024	hrupati		v.intr. ipf.
31916	hrupkavy		adj.
1245	hrust		m.
26026	hrustati		v.intr. ipf.
26028	hrųšč		m.anim.
4727	Hrvat		m.anim.
2580	Hrvatija		f.sg.
4728	hrvatsky		adj.
7739	htěti	(hće)	v.aux. ipf.
26030	htivy		adj.
37920	hucuľsky		adj.
36251	hudnųti		v.intr. ipf.
17472	hųdožnica		f.
14594	hųdožnik		m.anim.
17473	hųdožno		adv.
14595	hųdožny		adj.
17474	hųdožstvo		n.
26033	hudy		adj.
2064	huj		m.
14596	hujesȯs	(hujesȯsa)	m.anim.
6226	huligan		m.anim.
37723	humanist		m.anim.
35744	humanističny		adj.
2592	humanitarny		adj.
35743	humanizm		m.sg.
3668	humor		m.
38092	humoreska		f.
19722	humorističny		adj.
37135	humus		m.
19495	hunta		f.
35656	hura		intj.
35837	husit		m.anim.
14598	Hvala!		intj.
2593	hvala		f.
7828	hvala	(+3)	prep.
26041	hvalebny		adj.
2890	hvaliti		v.tr. ipf.
17477	hvastati sę		v.refl. ipf.
35476	hvat		m.
2591	hvatati		v.tr. ipf.
34776	hvějati sę	(hvěje)	v.refl. ipf.
708	hvějati	(hvěje)	v.tr. ipf.
20865	hvějati	(hvěje)	v.tr. ipf.
7835	hvilja nazad		adv.
7836	hvilja tomu		adv.
3846	hvilja		f.
17482	hvoja		f.
26045	hvoja		f.
37160	hvoja		f.sg.
36260	hvojny lěs		m.
26047	hvorěti		v.intr. ipf.
17483	hvoroba sŕdca		f.
3543	hvoroba		f.
7840	hvoroblivo		adv.
36691	hvoroblivy		adj.
3541	hvory		adj.
17484	hvost		m.
26051	hvošč		m.
26052	hyba		f.
26053	hybiti		v.intr. ipf.
10362	hybny		adj.
7751	hytrėc		m.anim.
15329	hytrica		f.
7752	hytro		adv.
7753	hytrosť		f.
17452	hytry		adj.
36224	i ... i ...		conj.
36223	I slěpa veverica poněkȯgda najde orěh		phrase
36343	i t.d.		adv.
36341	i tako dalje		adv.
718	i		conj.
26056	ibis		m.anim.
3457	ibo		conj.
206	ideal		m.
26058	idealist		m.anim.
26059	idealističny		adj.
37724	idealistka		f.
26060	idealizacija		f.
26061	idealizm		m.sg.
26062	idealizovati		v.tr. ipf./pf.
37725	ideaľnosť		f.
2595	ideaľny		adj.
3372	ideja		f.
12913	identični blizneci		m.pl.
35748	identičnosť		f.
2597	identičny		adj.
16421	identifikacija		f.
35274	identifikator		m.
15906	identifikovati		v.tr. ipf.
19723	identitet		m.sg.
26069	ideografija		f.
2103	ideolog		m.anim.
23576	ideologičny		adj.
715	ideologija		f.
26073	idila		f.
26074	idiličny		adj.
26075	idiom		m.
36363	idiomatičny		adj.
23229	idiot		m.anim.
26077	idiotizm		m.
23230	idiotsky		adj.
26078	idol		m.anim.
26079	idolopoklonnik		m.anim.
13823	idti vprěd	(ide; šėl)	v.ipf.
15654	idti vzad	(ide; šėl)	v.ipf.
2104	idti	(ide; šėl)	v.intr. ipf.
2105	igla		f.
36259	iglasty lěs		m.
36258	iglasty		adj.
26082	iglica		f.
26083	iglu		n.indecl.
26084	ignorovańje		n.sg.
2596	ignorovati		v.tr. ipf.
26086	igo	(iga/ižese)	n.
2598	igra		f.
19724	igrač		m.anim.
19725	igračka		f.
22390	igračka		f.
16940	igrašna karta		f.
19943	igrati roljų		v.ipf.
2599	igrati		v.tr. ipf.
26094	igrek		m.
2600	igrišče		n.
26096	igrivy		adj.
26097	iguana		f.
26098	igumen		m.anim.
26099	igumenja		f.
26100	ikati		v.intr. ipf.
26101	ikava		f.
37105	ikona		f.
38112	ikoničny		adj.
303	ikra		f.
3504	il		m.sg.
766	ili ... ili ...		conj.
724	ili		conj.
36561	Ilinojs		m.sg.
1504	Ilir		m.anim.
37292	ilirizm		m.
26106	iljm		m.
26107	ilovy		adj.
35300	ilustracija		f.
19726	ilustrovati		v.tr. ipf.
35602	iluzija		f.
34849	iluzionist		m.anim.
26108	iluzorny		adj.
36882	imajmo nadějų		adv.
37126	imbiŕ		m.
16340	imę		n.
16342	imę		n.
36953	imeniny		f.pl.
5975	imeniteljnik, imeniteljny padež		m.
874	iměńje		n.
786	imennik		m.
3745	imennik		m.anim.
17486	imenno		adv.
37887	imenny prostor		m.
37886	imenny		adj.
3486	imenovati		v.tr. ipf.
3325	iměti dělo s		v.ipf.
36890	iměti na myslji		v.tr. ipf.
36928	iměti na umu		v.tr. ipf.
17485	iměti nadějų		v.ipf.
33179	iměti njuh za něčto		phrase
876	iměti pravdų		v.ipf.
36402	iměti smysl		v.ipf.
23339	iměti važnosť		v.intr. ipf.
23340	iměti značeńje		v.intr. ipf.
3847	iměti žalj		v.ipf.
417	iměti, imati	(imaje)	v.aux. ipf.
875	iměti, imati	(imaje)	v.tr. ipf.
4958	imigracija		f.
98	imigrant		m.anim.
4959	imigrovati		v.intr. ipf.
36437	imitacija		f.
36438	imitovati		v.tr. ipf./pf.
17023	imperativ		m.
896	imperator		m.anim.
2630	imperatorica		f.
16942	imperfekt		m.sg.
37726	imperialist		m.anim.
23852	imperializm		m.sg.
35710	imperija		f.
35953	implantovati		v.tr. ipf./pf.
23846	imponovati		v.tr. ipf.
23847	imponujųći		adj.
4961	import		m.sg.
4962	importovati		v.tr. ipf.
36856	impotencija		f.
37727	impotent		m.anim.
36857	impotentny		adj.
23848	improvizacija		f.
16943	improvizovati		v.intr. ipf.
1206	impuls		m.
23850	impulsivny		adj.
37728	impulsny		adj.
17487	imųći		adj.
35814	imunitet		m.sg.
35815	imunny		adj.
17488	imųtȯk		m.
3764	inače		adv.
7904	inako		adv.
7905	inaky		adj.
19572	inamo		adv.
19727	inavguraľny		adj.
35035	incest		m.sg.
4914	incident		m.
37095	Ind		m.sg.
2631	inde		adv.
16783	indeks		m.
26122	indigo		n.
1068	Indija		f.sg.
6405	Indijan, Indijanin		m.anim.
6406	Indijanka		f.
6408	indijańsky		adj.
36364	Indijėc	(Indijca)	m.anim.
36365	Indijka		f.
23498	Indijsky okean		m.sg.
4749	indijsky		adj.
15915	individ		m.anim.
10315	individualist		m.anim.
36978	individualizm		m.
26123	individuaľnosť		f.
5138	individuaľny		adj.
2634	indoarijsky		adj.
897	indoevropejsky		adj.
1667	indoirańsky		adj.
6106	Indonezija		f.sg.
19728	indonezsky		adj.
37921	industrializovati		v.tr. ipf./pf.
35180	industriaľny		adj.
23474	indyk		m.anim.
36823	inercija		f.
2006	infekcija		f.
521	infinitiv		m.
16784	inflacija		f.
769	informacija		f.
37141	informacijny		adj.
7895	informant		m.anim.
36448	informatik		m.anim.
36447	informatika		f.sg.
19729	informativny		adj.
37729	informovanosť		f.
862	informovany		adj.
863	informovati		v.tr. ipf.
23579	infračrveno světlo		n.
35756	infračrveny		adj.
16364	infrastruktura		f.
35558	ingredient		m.
209	Inguš		m.anim.
1783	Ingušetija		f.sg.
1300	ingušsky		adj.
37730	inhalacija		f.
32377	inicializacija		f.
32376	inicializovati		v.tr. ipf./pf.
5309	iniciativa		f.
37731	iniciativny		adj.
38035	iniciator		m.anim.
26125	inje		n.
26128	injekcija		f.
38129	injekcijna igla		f.
33250	inkubator		m.
37732	inkvizicija		f.
37733	inkvizitor		m.anim.
1319	inočij		pron.poss.
307	inočto		pron.indef.
2633	inȯgda, inȯgdy		adv.
26129	inohod		m.sg.
155	inokto		pron.indef.
19594	inoliky		adj.
35275	inoplanetjan, inoplanetjanin		m.anim.
5855	inoskazańje		n.
21873	inostrånėc		m.anim.
35685	inovacija		f.
35753	inovativny		adj.
7912	inovrěmenno		adv.
37401	inovrěmenny		adj.
7913	inozemėc		m.anim.
7914	inozemny		adj.
38093	inscenizacija		f.
17490	insekt		m.anim.
37845	inspektor		m.anim.
37734	inspektorka		f.
35897	inspiracija		f.
35896	inspirovati		v.tr. ipf./pf.
2495	instalacija		f.
4968	instalovati		v.tr. ipf.
32805	instinkt		m.
19730	institucija		f.
26131	institut		m.
37922	instrukcija		f.
11062	instruktor		m.anim.
15478	instruktorka		f.
2858	instrument		m.
38077	instrumentacija		f.
16944	instrumental		m.
37106	instrumentalist		m.anim.
4789	instrumentaľny		adj.
34947	integracija		f.
37735	integracijny		adj.
37736	integraľny		adj.
36084	integritet		m.
34946	integrovati		v.tr. ipf./pf.
37924	intelekt		m.
3174	intelektual		m.anim.
19731	intelektuaľny		adj.
37923	inteligencija		f.
37925	inteligentny		adj.
36332	intensivnosť		f.
2859	intensivny		adj.
34853	interakcija		f.
34852	interaktivny		adj.
1330	interes		m.
19732	interesno		adv.
2500	interesny		adj.
15928	interesovati sę		v.refl. ipf.
34992	interesovati		v.tr. ipf.
7916	interfejs		m.
36231	interier		m.
36232	interierny dizajn		m.
31778	interlingvist		m.anim.
31777	interlingvističny		adj.
31776	interlingvistika		f.
38074	intermeco		n.
37738	internacionalist		m.anim.
31779	internacionalizm		m.sg.
3177	internacionalizovati		v.tr. ipf.
38076	internat		m.
17491	internet		m.sg.
35278	internetny		adj.
4988	interpretacija		f.
4987	interpretovati		v.tr. ipf.
23620	interpunkcija		f.
16945	interrogativny zaimennik		m.
35867	interval		m.
35304	intervencija		f.
1819	intervju		n.indecl.
37739	intimnosť		f.
37740	intimny		adj.
35512	intriga		f.
35809	intrigovati		v.tr. ipf.
35810	intrigujųći		adj.
12090	introspekcija		f.
6159	intuicija		f.
35161	intuitivny		adj.
2493	inųdy		adv.
34576	invalid		m.anim.
34575	invalidsky vozȯk		m.
19496	invazija		f.
23851	inventarizacija		f.
4986	investicija		f.
15933	investor		m.anim.
1480	investovati		v.tr. ipf.
864	iny		adj.
4846	inženjer		m.anim.
290	inženjeŕstvo		n.sg.
4658	ion		m.
1613	iračsky		adj.
2505	Irak		m.sg.
1782	Iran		m.sg.
2497	irańsky		adj.
32474	irbis		m.anim.
22631	iridij		m.sg.
34967	iris		m.
34968	iris		m.
188	Irlandija		f.sg.
4432	irlandsky		adj.
19733	ironičny		adj.
19734	ironija		f.
37805	ironizovati		v.intr. ipf.
7924	iskaľnik		m.
36573	iskańje		n.
7925	iskatelj		m.anim.
1012	iskati	(išče)	v.tr. ipf.
37063	Iskr		m.sg.
1011	iskra		f.
3848	iskrenosť		f.
2024	iskreny		adj.
26141	iskriti		v.intr. ipf.
23580	islam		m.sg.
35559	islamsky		adj.
4430	Islandija		f.sg.
4431	islandsky		adj.
7935	istina		f.
7936	istinlivo		adv.
7937	istinlivy		adj.
7938	istinno		adv.
5108	istinnosť		f.
3309	istinny		adj.
14604	istnovati		v.intr. ipf.
3333	isto		adv.
5310	isty		adj.
26147	Isus Hristos		m.anim.
17492	Isus		m.anim.
7947	itak		adv.
2503	Italija		f.sg.
20386	Italijan, Italijanin		m.anim.
643	italijańsky		adj.
35301	iteracija		f.
26150	iva		f.
1646	iver		m.
12065	iz drugoj stråny		adv.
12067	iz jednoj stråny		adv.
644	iz	(+2)	prep.
7953	iz-		prefix
641	izba		f.
26155	izbava		f.
26156	izbavitelj		m.anim.
5887	izbaviti sę	(+2)	v.refl. pf.
17493	izbaviti		v.tr. pf.
17495	izbaviti	(+2)	v.tr. pf.
5888	izbavjati sę	(+2)	v.refl. ipf.
17497	izbavjati		v.tr. ipf.
17499	izbavjati	(+2)	v.tr. ipf.
26160	izbavjeńje		n.sg.
1647	izběgati		v.intr. ipf.
1953	izběgati	(+2)	v.intr. ipf.
36474	izběgati		v.intr. ipf.
7962	izběgomy		adj.
642	izběgti	(izběži) (+2)	v.intr. pf.
1875	izběgti	(izběži)	v.intr. pf.
36475	izběgti	(izběži)	v.intr. pf.
26161	izbica		f.
7964	izbirajemosť		f.
7965	izbiramy		adj.
7966	izbirańje		n.sg.
7968	izbiratelj		m.anim.
7974	izbirateljstvo		n.
4334	izbirati		v.tr. ipf.
23862	izbiti	(izbije)	v.tr. pf.
23864	izbivati		v.tr. ipf.
26163	izbljuvati		v.intr. pf.
1641	izbombardovati		v.tr. pf.
7977	izbor ljudij		m.
4333	izbor		m.
7970	izborny koledž		m.
7971	izborny komitet		m.
7969	izborny podvod		m.
1642	izbory		m.pl.
17509	izbrany		adj.
4335	izbrati	(izbere)	v.tr. pf.
1630	izbudovati		v.tr. pf.
4796	izbuh		m.
4800	izbuhati		v.intr. ipf.
4798	izbuhlivy		adj.
4801	izbuhnųti		v.intr. pf.
37467	izbytȯčny		adj.
26167	izbytȯk		m.
26169	izcěliti sę		v.refl. pf.
36660	izcěliti		v.tr. pf.
31720	izcěljati sę		v.refl. ipf.
36661	izcěljati		v.tr. ipf.
35983	izčezaj!		intj.
3550	izčezati		v.intr. ipf.
7988	izčezneńje		n.
3557	izčeznųti		v.intr. pf.
5879	izčisliti		v.tr. pf.
5878	izčisljati		v.tr. ipf.
3417	izčisljeńje		n.
16726	izčistiti		v.tr. pf.
17511	izčrkańje		n.
3253	izčrkati		v.tr. ipf.
3271	izčrknųti		v.tr. pf.
2143	izčrpati	(izčrpe)	v.tr. pf.
1643	izčrpyvati		v.tr. ipf.
36226	izdajnik		m.anim.
21295	izdaleka		adv.
16733	izdańje		n.
19873	izdatelj		m.anim.
4855	izdateljstvo		n.
29069	izdati zamųž	(izda)	v.tr. pf.
4854	izdati	(izda)	v.tr. pf.
17514	izdati	(izda)	v.tr. pf.
4779	izdavati sę		v.refl. ipf.
34252	izdavati zamųž		v.tr. ipf.
4853	izdavati		v.tr. ipf.
17517	izdavati		v.tr. ipf.
3732	#izdělati		v.tr. pf.
2384	izdojiti		v.tr. pf.
19272	izdȯlbti		v.tr. pf.
1798	izdŕžlivy		adj.
7996	izdumati		v.tr. pf.
17523	izganjańje		n.sg.
1692	izganjati		v.tr. ipf.
26175	izgladiti		v.tr. pf.
1696	izglåsiti		v.tr. pf.
749	izglašati		v.tr. ipf.
5812	izględ		m.
5811	izględati		v.intr. ipf.
33354	izględati		v.intr. ipf.
13923	izględka		f.
33355	izględnųti		v.intr. pf.
17527	izgnanėc		m.
17528	izgnańje		n.sg.
19279	izgnaństvo		n.sg.
1695	izgnati	(izgone)	v.tr. pf.
5593	izgniti	(izgnije)	v.intr. pf.
16827	izgoda		f.
17531	izgodny		adj.
26179	izgojiti		v.tr. pf.
1795	izgorěti		v.intr. pf.
5553	izgovarjati		v.tr. ipf.
1797	izgovor		m.
4370	izgovoriti		v.tr. pf.
33706	izgovorka		f.
26181	izguba		f.
36653	izgubiti sę		v.refl. pf.
36254	izgubiti tęžinų		v.intr. pf.
26182	izgubiti		v.tr. pf.
26183	izgubiti		v.tr. pf.
26174	izgynųti		v.intr. pf.
17532	izhod luny		m.
5356	izhod		m.
32745	izhod		m.
5355	izhoditi		v.intr. ipf.
35259	izhodny kod		m.
14606	izigrańje		n.sg.
3936	izigratelj		m.anim.
1674	izigrati		v.tr. pf.
1703	izigryvati		v.tr. ipf.
5515	izimati		v.tr. ipf.
35372	iziskati ponovno	(izišče)	v.tr. pf.
17540	iziskati	(izišče)	v.tr. pf.
35373	iziskyvati ponovno	(izišče)	v.tr. ipf.
17543	iziskyvati		v.tr. ipf.
4145	izjasniti		v.tr. pf.
4144	izjasnjati		v.tr. ipf.
4146	izjasnjeńje		n.
3413	izjaviti sę		v.refl. pf.
17547	izjaviti		v.tr. pf.
3412	izjavjati sę		v.refl. ipf.
17548	izjavjati		v.tr. ipf.
35474	izjavjeńje		n.sg.
5484	izjehati	(izjede)	v.intr. pf.
5514	izjęti	(izȯjme)	v.tr. pf.
5497	izjezd		m.
5485	izježđati		v.intr. ipf.
1610	izkalkulovati		v.tr. pf.
16946	izkazańje		n.
19735	izkladati		v.tr. ipf.
20387	izključajųći	(+4)	prep.
2504	izključati		v.tr. ipf.
3918	izključati		v.tr. ipf.
8018	izključeńje		n.
8024	izključeńje		n.
8025	izključiteljno		adv.
8026	izključiteljny		adj.
482	izključiti		v.tr. pf.
3920	izključiti		v.tr. pf.
17552	izključno		adv.
8023	#izkljuvati		v.tr. ipf.
5777	izkonavči		adj.
2523	izkopati		v.tr. pf.
17555	izkopyvati		v.tr. ipf.
26191	izkoreniti		v.tr. pf.
32044	izkorenjati		v.tr. ipf.
5155	izkoristati		v.tr. pf.
35261	izkoristiti		v.tr. pf.
5570	izkoristyvati		v.tr. ipf.
17557	izkositi		v.tr. pf.
36922	izkovati		v.tr. pf.
36921	izkovyvati		v.tr. ipf.
8033	izkrikati		v.tr. ipf.
8035	izkriknųti		v.tr. pf.
8031	izkrviti do smŕti		phrase
4515	izkrviti		v.tr. pf.
31422	izkup		m.
3445	izkųpati		v.tr. pf.
26193	izkupiti		v.tr. pf.
19736	izkus		m.
3603	izkusiti		v.tr. pf.
19743	izkusny		adj.
4781	izkušati		v.tr. ipf.
19740	izkušeńje		n.
3606	izkušenosť		f.
3607	izkušeny		adj.
35776	izkydati		v.tr. ipf.
35777	izkydnųti		v.tr. pf.
19744	izlagati		v.tr. ipf.
36663	izlěčiti sę		v.refl. pf.
4131	izlěčiti		v.tr. pf.
36549	izlęgti sę		v.refl. pf.
36547	izlęgti		v.tr. pf.
17561	izlet		m.
37180	izlězati		v.intr. ipf.
37179	izlězti		v.intr. pf.
26196	izlišėk		m.
27228	izlišnji, izlišny		adj.
26197	izliti	(izlije)	v.tr. pf.
36396	izlivati	(izlije)	v.tr. ipf.
26198	izlomiti		v.tr. pf.
26199	izloviti		v.tr. pf.
19745	izložiti		v.tr. pf.
33357	izmagateljstvo		n.sg.
31423	izmagati		v.tr. ipf.
5737	izmama		f.
15699	izmamitelj		m.anim.
5736	izmamiti		v.tr. pf.
5735	izmamjati		v.tr. ipf.
15701	izmamnica		f.
5738	izmamnik		m.anim.
4915	iz-među	(+2)	prep.
3944	izměna		f.
1081	izměniti		v.tr. pf.
711	izměnjati		v.tr. ipf.
3496	izměnjeńje		n.
5596	izměriti		v.tr. pf.
26204	izmesti	(izmete)	v.tr. pf.
19748	izměstiti		v.tr. pf.
19746	izměšćati		v.tr. ipf.
19747	izměšćeńje		n.sg.
35982	izmětaj sę!		intj.
32600	izmětati		v.tr. ipf.
17568	izmirati		v.intr. ipf.
1597	izmočiti		v.intr. pf.
36917	izmodelovati		v.tr. pf.
36924	izmodelovati		v.tr. pf.
33356	izmogti		v.tr. pf.
26205	izmoriti		v.tr. pf.
17569	izmrěti		v.intr. pf.
3599	izmųčeny		adj.
1595	izmysl		m.
8060	izmyslitelj		m.anim.
8061	izmysliti		v.tr. pf.
8063	izmysljati		v.tr. ipf.
17570	izmysljeńje		n.
3610	izmysljeny		adj.
17571	izmysljeny		adj.
1796	iz-nad	(+2)	prep.
36802	iznahoditi		v.tr. ipf.
8068	iznahodlivo		adv.
8069	iznahodlivosť		f.
8070	iznahodlivy		adj.
603	iznahodnik		m.anim.
36804	iznahodȯk		m.
36803	iznajdti	(iznajde; iznašėl)	v.tr. pf.
23316	iznajęti	(iznajme)	v.tr. pf.
23315	iznajmati		v.tr. ipf.
36043	iznasilovańje		n.
37173	iznasilovati		v.tr. pf.
26207	iznemogti		v.intr. pf.
23729	iznenada		adv.
26208	iznenadsko		adv.
5459	iznesti		v.tr. pf.
26209	izniknųti		v.intr. pf.
35758	izniščeńje		n.
35759	izniščiti		v.tr. pf.
5458	iznositi		v.tr. ipf.
4680	iznova		adv.
33358	iznuda		f.
33360	iznuditi		v.tr. pf.
33359	iznuđati		v.tr. ipf.
16391	iznuriti		v.intr. pf.
8082	iznurjati		v.intr. ipf.
26211	izobara		f.
20395	#izobličati		v.tr. ipf.
20396	izobličiti		v.tr. pf.
771	izobraziti		v.tr. pf.
1865	izobražati		v.tr. ipf.
19750	izobražeńje		n.
26213	izoglosa		f.
5354	izȯjdti	(izȯjde; izšėl)	v.intr. pf.
4965	izolacija		f.
26214	izolator		m.
21298	izolovany		adj.
2015	izolovati		v.tr. ipf.
31929	izopačati		v.tr. ipf.
26216	izopačiti		v.tr. pf.
26217	izorati	(izoŕe)	v.tr. pf.
37005	izotermičny		adj.
26218	izpadati		v.intr. ipf.
36716	izpasti	(izpade)	v.intr. pf.
26219	izpekti		v.tr. pf.
26220	izpepeliti		v.tr. pf.
36799	izphańje		n.
32917	izphati		v.tr. pf.
32918	izphati		v.tr. pf.
32915	izpihati		v.tr. ipf.
32916	izpihati		v.tr. ipf.
2608	izpiti	(izpije)	v.tr. pf.
8087	izplaćati		v.tr. ipf.
26222	izplåšiti		v.tr. pf.
4277	izplata		f.
37197	izplata		f.
8089	izplatiti		v.tr. pf.
13945	izplatny spisȯk		m.
26223	izplěti	(izplěje/izplěve)	v.tr. pf.
35124	izpljunųti		v.tr. pf.
35123	izpljuvati		v.tr. ipf.
34907	izpluti	(izplove)	v.intr. pf.
34311	izplyvati		v.intr. ipf.
34313	izplyvati		v.intr. ipf.
36726	izplyvati		v.intr. ipf.
34314	izplyvti		v.intr. pf.
34315	izplyvti		v.intr. pf.
2926	iz-pod	(+2)	prep.
38135	izpolniteljny		adj.
597	izpȯlniti		v.tr. pf.
2501	izpȯlnjati		v.tr. ipf.
36609	izpȯlnjeńje		n.sg.
17573	izpȯlzati		v.intr. ipf.
17574	izpȯlzti		v.intr. pf.
19752	izpověď		f.
22218	izpovědati		v.tr. ipf.
22219	izpověděti	(izpově)	v.tr. pf.
22798	izprašati		v.tr. ipf.
32299	izprati mozg	(+3)	phrase
32305	izprati	(izpere)	v.tr. pf.
2502	izpraviti		v.tr. pf.
2507	izpravjati		v.tr. ipf.
26231	izpråzdniti		v.tr. pf.
31723	izpråzdnjati		v.tr. ipf.
3043	iz-prěd	(+2)	prep.
32773	izpręgati		v.tr. ipf.
32774	izpręgti		v.tr. pf.
17575	izprobovańje		n.sg.
17576	izprobovati		v.tr. pf.
17577	izprobovyvati		v.tr. ipf.
16735	izprodany		adj.
22797	izprositi		v.tr. pf.
26232	izpŕva		adv.
26233	izpųditi		v.tr. pf.
13952	izpųkly		adj.
5240	izpustiti		v.tr. pf.
5241	izpušćati		v.tr. ipf.
37125	izpyt		m.
16396	izpytati		v.tr. pf.
20868	izpytati		v.tr. pf.
16395	izpytyvati		v.tr. ipf.
20869	izpytyvati		v.tr. ipf.
681	izråbiti		v.tr. pf.
8103	izråbotati		v.tr. pf.
8106	izråbotyvati		v.tr. ipf.
6084	izrađati sę		v.refl. ipf.
4741	Izrael		m.sg.
26239	Izraelėc		m.anim.
4742	izraeľsky		adj.
1688	izråsti	(izråste)	v.intr. pf.
3725	izråvniti sę		v.refl. pf.
19754	izråvniti		v.tr. pf.
3723	izravnjati sę		v.refl. ipf.
19753	izravnjati		v.tr. ipf.
8115	izraz		m.
36718	izraziti sę		v.refl. pf.
2609	izraziti		v.tr. pf.
17584	izraznosť		f.
17586	izrazny		adj.
36717	izražati sę		v.refl. ipf.
682	izražati		v.tr. ipf.
719	izražeńje		n.
21301	izrěčeńje		n.
21303	izrěkati		v.tr. ipf.
21305	izrěkti		v.tr. pf.
8120	izrězati	(izrěže)	v.tr. pf.
36918	izrězyvati		v.tr. ipf.
6085	izroditi sę		v.refl. pf.
31433	izrodȯk		m.anim.
21307	izrođeńje		n.sg.
6086	izrođeny		adj.
17587	izrųbati		v.tr. pf.
17588	izrųbyvati		v.tr. ipf.
23867	izrvati	(izrve)	v.tr. pf.
23866	izryvati		v.tr. ipf.
36425	izsěkati		v.tr. ipf.
19755	izsěkti		v.tr. pf.
36426	izseliti sę		v.refl. pf.
5710	izseliti		v.tr. pf.
36427	izseljati sę		v.refl. ipf.
5711	izseljati		v.tr. ipf.
17589	izseljenėc		m.anim.
17590	izseljenica		f.
5712	izseljeńje		n.sg.
8123	izslati	(izšlje)	v.tr. pf.
20398	izslavjati sę		v.refl. ipf.
20397	izslavjati		v.tr. ipf.
32751	izslědȯk		m.
35390	izslědovańje		n.sg.
1937	izslědovatelj		m.anim.
21308	izslědovati		v.tr. ipf.
20400	izsloviti sę		v.refl. pf.
20399	izsloviti		v.tr. pf.
12348	izslušańje		n.
36533	izslušati		v.tr. pf.
36532	izslušivati		v.tr. ipf.
13967	izsmějati	(izsměje)	v.tr. pf.
13965	izsmějivańje		n.sg.
4133	izsmějivati		v.tr. ipf.
13968	izsměška		f.
4134	izsměšnik		m.anim.
17591	izsměvka		f.
33658	izsmrkati sę		v.refl. pf.
34583	izsȯhnųti		v.intr. pf.
4151	izsȯsati		v.tr. pf.
33216	izspati sę	(izspi)	v.refl. pf.
20401	iz-srěd	(+2)	prep.
8126	#izstava, izstavka		f.
16614	izstava		f.
2602	izstaviti		v.tr. pf.
931	izstavjati		v.tr. ipf.
35563	izstavjeńje		n.sg.
33599	izstrěl		m.
35676	izstrěliti		v.tr. pf.
3505	izstųpati		v.intr. ipf.
21985	izstųpati		v.intr. ipf.
3535	izstųpiti		v.intr. pf.
21993	#izstųpiti		v.intr. pf.
13947	izsunųti		v.tr. pf.
13951	izsunųťje		n.sg.
13953	izsunųty		adj.
33097	izsušati		v.tr. ipf.
33098	izsušiti		v.tr. pf.
13949	izsuvati		v.tr. ipf.
34582	izsyhati		v.intr. ipf.
17592	izsylańje		n.sg.
8131	izsylati		v.tr. ipf.
26245	izsypati		v.tr. pf.
5567	izsysati		v.tr. ipf.
34002	izšiti	(izšije)	v.tr. pf.
34001	izšivati		v.tr. ipf.
4845	izškoliti		v.tr. pf.
22052	iztęg		m.
3850	iztęgati		v.tr. ipf.
3849	iztęgnųti		v.tr. pf.
6070	iztěkati		v.intr. ipf.
22066	iztěkati		v.intr. ipf.
6072	iztekti		v.intr. pf.
